"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"M",2007-07-29,20234,"2023","ANTIOQUIA","CALDAS","Estrato 2","N","TÉCNICO/ACADÉMICO",75,70,75,70,55,356,4,3,3,4,"A1",51.1903109355572,3
"M",2001-04-23,20204,"2020","ATLANTICO","BARRANQUILLA","Estrato 2","N","ACADÉMICO",51,50,64,57,57,278,3,2,3,3,"A1",36.8889861081541,1
"M",2005-08-08,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",44,47,40,50,42,225,2,2,2,1,"A-",43.3955521615686,2
"M",2005-07-30,20234,"2023","ANTIOQUIA","BELLO","Estrato 2","N","ACADÉMICO",51,54,50,46,43,248,3,3,2,2,"A-",53.1670324076145,3
"F",2003-06-11,20204,"2020","CHOCO","ISTMINA","Estrato 1","N","TÉCNICO/ACADÉMICO",41,41,41,49,31,210,2,2,2,2,"A-",39.1518921816796,1
"M",2003-07-11,20204,"2020","ANTIOQUIA","ITAGÜÍ","Estrato 2","N","TÉCNICO/ACADÉMICO",56,60,49,58,59,280,3,3,3,2,"A2",57.1822392030496,3
"M",2005-05-20,20214,"2021","SUCRE","COROZAL","Estrato 1","N","TÉCNICO/ACADÉMICO",69,64,71,66,55,333,4,3,3,4,"A1",50.5447589151961,2
"F",2005-12-22,20224,"2022","SANTANDER","BUCARAMANGA","Estrato 2","N","TÉCNICO/ACADÉMICO",52,53,47,53,39,252,3,3,2,2,"A-",36.4634030164506,1
"F",2004-12-11,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","TÉCNICO/ACADÉMICO",55,55,52,50,57,267,3,3,2,2,"A1",53.8231161402079,3
"M",1972-02-08,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Sin Estrato","N","ACADÉMICO",35,25,32,25,34,148,1,1,1,1,"A-",NA,NA
